Age,MonthlyCharges,TenureMonths,InternetUsageGB,SupportCalls,CustomerChurn
38,111,65,157,13,1
36,33,8,893,5,0
36,144,51,984,12,0
53,77,6,651,11,0
46,47,39,766,7,0
35,45,60,940,8,0
19,132,28,494,0,0
18,85,54,942,2,0
22,63,37,487,10,0
37,116,9,781,6,0
28,61,56,939,5,0
59,25,59,655,6,0
19,42,2,506,7,0
20,108,61,664,5,0
40,142,58,784,2,0
29,70,60,747,1,0
37,30,40,745,11,0
22,31,36,544,6,0
54,93,37,723,11,0
55,27,18,296,11,0
47,60,63,592,11,0
26,104,22,613,10,0
51,91,11,906,0,0
52,74,58,637,2,0
39,66,57,946,11,0
41,123,4,488,10,1
34,61,7,327,3,0
27,79,61,601,12,0
47,31,54,662,13,0
40,149,68,160,0,0
49,26,1,434,4,0
34,99,55,882,9,0
34,128,3,810,2,0
31,22,38,240,1,0
26,46,1,539,14,0
57,133,38,743,2,0
19,126,29,475,7,1
42,59,5,454,5,0
56,148,21,384,12,1
26,27,71,258,13,0
39,120,67,71,6,0
